protein,diff,p,q
SNAP29,1.835126515151516,1.1016215229216854e-13,2.217460459053443e-11
SNAPIN,-0.0421375541125541,0.4624970214120131,0.5934498654904804
SNCA,1.0999612012987026,4.476050048555861e-05,0.00033633661418840056
SNCG,0.061486255411255325,0.32865434078811817,0.47322987099688146
SNED1,-0.08615514069264107,0.1210990688896973,0.23090187760246916
SNRPB2,0.02226585497835496,0.5380108904868224,0.657718876157667
SNU13,-0.2272288961038962,0.02206974982059847,0.06783373157267017
SNX15,0.4480705086580081,0.00017083395124762343,0.0011749356223454196
SNX18,0.022450541125541124,0.9019766479785182,0.938582321837383
SNX2,0.2859879329004329,0.016413495525295262,0.0540277561040969
SNX5,0.06403241341991339,0.4941162142860759,0.6214723297582615
SNX9,0.5424879870129871,3.131534786056228e-08,3.5755766326727947e-07
SOD1,0.46285492424242447,9.498882620537832e-05,0.0006805204387213745
SOD2,-0.08882662337662336,0.2980938811170427,0.43984271302630784
SOD3,-0.001744913419913452,0.33500451362962924,0.47766741138507623
SORBS1,-0.010163041125541172,0.9627382556941022,0.977791494577436
SORCS2,-0.15417256493506493,0.22287979638857502,0.3597336525918304
SORD,0.3043444805194806,0.22612080897100362,0.36296052972116616
SORT1,0.13989356060606067,0.07655671242954576,0.16787342117896645
SOST,-0.07018787878787885,0.5268564656123884,0.6484216627305311
SOWAHA,-0.3375600108225113,0.0013836694517350557,0.007380412057338627
SOX2,-0.18243100649350652,0.0023257049923550537,0.011761307426736716
SOX9,-0.22021304112554113,0.001851364590635197,0.009594926770260073
SPACA5_SPACA5B,-0.017703517316017325,0.8351462519765688,0.8922267889354936
SPAG1,0.2103349567099566,0.13827736922991657,0.2553345292729446
SPARC,0.8317097943722942,1.6993209930380055e-08,2.104709857055123e-07
SPARCL1,-0.17919983766233766,0.03063718115561671,0.08652413576605571
SPART,0.5817739177489176,1.4300482880539071e-09,2.1326689520314135e-08
SPESP1,-0.1635513528138528,0.06717777205291098,0.1529288377808869
SPINK1,-0.27611439393939385,0.008146948190344836,0.03239935994609246
SPINK2,-0.17934967532467536,0.10025633385690731,0.20017026220200823
SPINK4,-0.3258915043290044,0.04365774437049427,0.11204056535967981
SPINK5,-0.19434675324675313,0.016413495525295262,0.0540277561040969
SPINK6,-0.14139036796536797,0.2327034229368925,0.37027332893006903
SPINK8,-0.0864243506493507,0.33500451362962924,0.47766741138507623
SPINT1,-0.14086991341991342,0.009002956432049061,0.035228435944952355
