feature,layer,diff_high_minus_low,p,q
PPIB,proteomics,1.396935335497836,4.299960635026336e-12,1.351482251202363e-10
HPSE,proteomics,2.6409355519480524,4.299064990761956e-12,1.351482251202363e-10
HBEGF,proteomics,0.7567026515151513,4.299960635026336e-12,1.351482251202363e-10
CDKN2D,proteomics,2.0616112012987013,4.565776579049799e-12,1.4197622277194215e-10
SIRT2,proteomics,1.3130518398268405,4.847681543875357e-12,1.4608013559533678e-10
PRKAR1A,proteomics,1.793055898268398,4.847681543875357e-12,1.4608013559533678e-10
CD40LG,proteomics,1.1408424783549789,4.847681543875357e-12,1.4608013559533678e-10
EIF4E,proteomics,1.660410606060606,5.799731308575975e-12,1.7298586341803644e-10
FKBP1B,proteomics,2.5916363095238104,6.1560808244615844e-12,1.7994224249901207e-10
ATP5IF1,proteomics,1.927317965367965,6.1560808244615844e-12,1.7994224249901207e-10
TNFAIP8L2,proteomics,1.0082253246753248,6.533862770815658e-12,1.8909387009004126e-10
RGCC,proteomics,1.4820911796536798,6.9343372933338825e-12,1.9489488373475902e-10
PPP1R2,proteomics,0.8310113636363635,6.9343372933338825e-12,1.9489488373475902e-10
TBCC,proteomics,1.0396896645021645,6.9343372933338825e-12,1.9489488373475902e-10
VASP,proteomics,1.0660819805194803,7.358836859296854e-12,2.0485600133071148e-10
PRTFDC1,proteomics,2.3000382034632034,8.042103524075539e-12,2.2176479812144147e-10
LYN,proteomics,1.015832251082251,8.790981797734849e-12,2.401499046241025e-10
MTIF3,proteomics,1.885508225108225,9.326498895964199e-12,2.5241996548984586e-10
FADD,proteomics,1.2182813852813847,9.893937696819949e-12,2.6532091640187806e-10
DNM1,proteomics,1.8185782467532463,1.1132123865500015e-11,2.93145928458167e-10
APRT,proteomics,1.049768344155844,1.1132123865500015e-11,2.93145928458167e-10
ERBIN,proteomics,1.2318718073593076,1.1806913007730467e-11,2.9751385104824275e-10
RGS10,proteomics,1.127809902597402,1.1806913007730467e-11,2.9751385104824275e-10
CLEC1B,proteomics,0.8033613095238096,1.1806913007730467e-11,2.9751385104824275e-10
DOK2,proteomics,1.9829514069264067,1.1806913007730467e-11,2.9751385104824275e-10
TACC3,proteomics,1.5484551948051948,1.1806913007730467e-11,2.9751385104824275e-10
DCTD,proteomics,1.315013041125541,1.5829497352892894e-11,3.9546684412398227e-10
VTA1,proteomics,1.2727692099567096,1.677859425844768e-11,4.156256865884964e-10
CHMP1A,proteomics,1.2576193181818185,1.7790344792707284e-11,4.3698468763935617e-10
LACTB2,proteomics,0.7173879870129871,1.8858055340624283e-11,4.5935079800537314e-10
SLC9A3R1,proteomics,0.912519696969697,1.9988432074970907e-11,4.789031717634423e-10
TPD52L2,proteomics,2.379995995670996,1.9988432074970907e-11,4.789031717634423e-10
HPCAL1,proteomics,1.130008333333334,2.118506666667445e-11,4.993866924733017e-10
UFD1,proteomics,2.518304383116883,2.118506666667445e-11,4.993866924733017e-10
WASF3,proteomics,2.6684425324675325,2.245175147425869e-11,5.250117564740651e-10
RHOC,proteomics,1.8361429112554115,2.6713274281679462e-11,6.100226619167895e-10
YES1,proteomics,0.7539506493506494,2.6713274281679462e-11,6.100226619167895e-10
LZTFL1,proteomics,1.1333190476190478,2.6713274281679462e-11,6.100226619167895e-10
MGMT,proteomics,1.9560542207792209,2.830249147345317e-11,6.413037409062296e-10
NUDT2,proteomics,1.049695670995671,2.998413365406398e-11,6.741817128525308e-10
PTRHD1,proteomics,0.9818647186147188,3.364597054142463e-11,7.450543325195771e-10
CA13,proteomics,2.162561688311688,3.364597054142463e-11,7.450543325195771e-10
